title,price,link
Apple iPhone 12 (64 GB) - Branco - Distribuidor Autorizado,3599,https://www.mercadolivre.com.br/apple-iphone-12-64-gb-branco-distribuidor-autorizado/p/MLB1016163647#searchVariation%3DMLB1016163647%26position%3D21%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 13 (256 GB) - (PRODUCT)RED - Distribuidor Autorizado,8599,https://www.mercadolivre.com.br/apple-iphone-13-256-gb-productred-distribuidor-autorizado/p/MLB1018500853#searchVariation%3DMLB1018500853%26position%3D22%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 14 (128 GB) - (PRODUCT)RED - Distribuidor Autorizado,5499,https://www.mercadolivre.com.br/apple-iphone-14-128-gb-productred-distribuidor-autorizado/p/MLB1019615349#searchVariation%3DMLB1019615349%26position%3D23%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 13 (256 GB) - Meia-noite - Distribuidor Autorizado,5499,https://www.mercadolivre.com.br/apple-iphone-13-256-gb-meia-noite-distribuidor-autorizado/p/MLB1018500858#searchVariation%3DMLB1018500858%26position%3D24%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 11 (128 GB) - Branco,2268,https://www.mercadolivre.com.br/apple-iphone-11-128-gb-branco/p/MLB15149568#searchVariation%3DMLB15149568%26position%3D25%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro (128 GB) - Titânio Natural - Distribuidor Autorizado,8056,https://www.mercadolivre.com.br/apple-iphone-15-pro-128-gb-titnio-natural-distribuidor-autorizado/p/MLB1027172700#searchVariation%3DMLB1027172700%26position%3D26%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 13 (256 GB) - Estelar - Distribuidor Autorizado,5499,https://www.mercadolivre.com.br/apple-iphone-13-256-gb-estelar-distribuidor-autorizado/p/MLB1018500856#searchVariation%3DMLB1018500856%26position%3D27%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro Max (256 GB) - Titânio Preto - Distribuidor Autorizado,9529,https://www.mercadolivre.com.br/apple-iphone-15-pro-max-256-gb-titnio-preto-distribuidor-autorizado/p/MLB1027172724#searchVariation%3DMLB1027172724%26position%3D28%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 (256 GB) - Preto - Distribuidor Autorizado,7021,https://www.mercadolivre.com.br/apple-iphone-15-256-gb-preto-distribuidor-autorizado/p/MLB1027172669#searchVariation%3DMLB1027172669%26position%3D29%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro Max (256 GB) - Titânio Branco - Distribuidor Autorizado,9665,https://www.mercadolivre.com.br/apple-iphone-15-pro-max-256-gb-titnio-branco-distribuidor-autorizado/p/MLB1027172715#searchVariation%3DMLB1027172715%26position%3D30%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 (128 GB) - Verde - Distribuidor Autorizado,5319,https://www.mercadolivre.com.br/apple-iphone-15-128-gb-verde-distribuidor-autorizado/p/MLB1027172671#searchVariation%3DMLB1027172671%26position%3D31%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone XR (64 GB) - Preto,1545,https://www.mercadolivre.com.br/apple-iphone-xr-64-gb-preto/p/MLB12866681#searchVariation%3DMLB12866681%26position%3D32%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 (256 GB) - Rosa - Distribuidor Autorizado,7021,https://www.mercadolivre.com.br/apple-iphone-15-256-gb-rosa-distribuidor-autorizado/p/MLB1027172670#searchVariation%3DMLB1027172670%26position%3D33%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
